
vinc,vict|胜，征服
co-curator,kəʊ-kjʊ(ə)'reɪtə,n.联合馆长
procure,prə'kjʊə(r),v. 获得；采办；拉皮条
procurer,prə'kjʊərə,n. 拉皮条者；索取者
procurement,prə'kjʊəmənt,n. 采购；获得；促成
manicurist,'mænɪkjʊərɪst,n. 指甲修饰师；美甲师
pedicure,'pedɪkjʊə(r),n. 修脚趾甲；足部治疗
sinecure,'sɪnɪkjʊə(r),n. 挂名职务；闲差事； 领干薪的牧师职位

turb,turbul|骚乱，骚扰
disturb,dɪ'stɜːb,v. 扰乱；妨碍；使 ... 不安；打破...的平静；打乱...的治安
disturber,dɪs'tɜːbə,n. 打扰者；干扰发射机
disturbance,dɪ'stɜːbəns,n. 扰乱；骚动
disturbed,dɪ'stɜːbd,adj. 有心理疾病的；不安的 动词disturb的过去式和过去分词.
undisturbed,ˌʌndɪ'stɜːbd,adj. 未受干扰的；安静的；镇定的
disturbing,dɪ'stɜːbɪŋ,adj. 烦扰的；担心的；令人不安的
disturbingly,dɪ'stɜːbɪŋli,adv. 令人不安地
turbulent,'tɜːbjələnt,adj. 狂暴的；骚动的；动荡的；汹涌的
turbulence,'tɜːbjələns,n. 骚乱；动荡；喧嚣；狂暴；湍流
perturb,pə'tɜːb,vt. 使烦恼；使不安
perturbed,pə'tɜːbd,adj. 烦躁不安的 动词perturb的过去式和过去分词形式.
unperturbed,ˌʌnpə'tɜːbd,adj. 未受到搅乱的；镇定的
perturbative,'pɜːtəbətɪv,扰乱性
perturbation,ˌpɜːtə'beɪʃn,n. 扰动(微扰；波动；破坏；摄动)
perturbational,ˌpɜːtə'beɪʃn,n. 扰动(微扰；波动；破坏；摄动)
imperturbation,ˌɪmpɜːtə'beɪʃən,n. 沉著；冷静；泰然自若
imperturbable,ˌɪmpə'tɜːbəbl,adj. 沉着的；泰然自若的；镇静的
imperturbably,ˌɪmpəˌtɜːbəbli,adv. 泰然地；平静地；冷静地
turbo,'tɜːbəʊ,n. 涡轮(发动机)；增压涡轮 n. [计] BORLAND公司开发的系列语言软件
turbine,'tɜːbaɪn,n. 涡轮
turbolift,'tɜːbəʊlɪft,n.高速电梯
turbofan,'tɜːbəʊfæn,n. 涡轮风扇发动机(透平风扇)
turboprop,'tɜːbəʊprɒp,n. 涡轮螺桨发动机；涡轮螺旋桨飞机
turbid,'tɜːbɪd,adj. 混浊的；泥水的；浓密的
turbidity,tɜː'bɪdəti,n. 混浊；混乱
turmoil,'tɜːmɔɪl,n. 混乱；骚动
trouble,'trʌbl,n. 困难；烦恼；麻烦 v. 使烦恼；麻烦；苦恼；费神

roma|罗马
roman,'rəʊmən,adj. 罗马的；罗马帝国的；罗马天主教的 n. 罗马人；罗马天主教徒；罗马字体
romance,rəʊ'mæns,n. 浪漫史；爱情故事；冒险故事；传奇文学；虚构 vt. 向…求爱 vi. 讲虚构故事
romaine,rəʊ'meɪn,n. 长叶莴苣
romanian,ru'meɪniən,n. 罗马尼亚人；罗马尼亚语 adj. 罗马尼亚的
romanesque,ˌrəʊmə'nesk,adj. 罗马式的 n. 罗马式(建筑；雕塑；绘画)
greco-roman,ɡrekəu'rəumən,adj. 希腊罗马的；希腊罗马式的
romantic,rəʊ'mæntɪk,adj. 浪漫的；不切实际的 n. 浪漫的人
unromantic,'ʌnrəʊ'mæntɪk,adj. 平淡无奇的；平庸的
romanticist,'rəʊmæntɪsɪst,n. 浪漫主义者
romanticism,rəʊ'mæntɪsɪzəm,n. 浪漫精神；浪漫主义
romantically,rəʊ'mæntɪkli,adv. 浪漫地；小说般地；空想地
anti-romantic,ˈænti-rə(ʊ)'mæntɪk,adj.反浪漫的
romanticise,rəʊ'mæntəˌsaɪz,v. 使浪漫化 =romanticize(美).
romanticize,rəʊ'mæntɪsaɪz,v. 浪漫化；传奇化；以浪漫风格描写
romanticized,rəʊ'mæntɪsaɪz,v. 浪漫化；传奇化；以浪漫风格描写
romanticization,rəʊ'mæntɪsaɪz,v. 浪漫化；传奇化；以浪漫风格描写

forc,fort|力量，强壮
force,fɔːs,n. 武力；暴力；力量；影响力；力量大的人或（事物）；权力；（为某目的组织起来的）一群人；军队；部队；武装力量；警察部门；力；风力 v. 迫使；强迫；强制；使发生；强装（欢笑）；人工催长
forcing,'fɔːsɪŋ,adj. 强迫的 动词force的现在分词形式.
forced,fɔːst,adj. 被迫的；强迫的；用力的；不自然的 force的过去式(分词）.
unforced,ʌn'fɔːst,adj. 非受迫性的；自然的
forcible,'fɔːsəbl,adj. 强制的；强迫的；有说服力的；用力的
forcibly,'fɔːsəbli,adv. 强行地；强烈地
forceful,'fɔːsfl,adj. 有力的；强烈的
forcefully,'fɔːsfəli,adv. 强有力地；有说服力地
forcefulness,'fɔːsflnəs,n. 坚强；有力
perforce,pə'fɔːs,adv. 必然地；不得已
forcefield,fɔːsfi:ld,n.力场；力场作用
force-feed,'fɔ:s'fi:d,vt.  给 ... 强行喂食
force-feeding,'fɔ:s'fi:dɪŋ,vt.  给 ... 强行喂食
forced-air,fɔːst-eə(r),n.强迫通风；加压气流
forced-labor,fɔːst-'leɪbə(r),n.强迫劳动；强迫分 娩
downforce,'daʊnfɔːs,下压力
workforce,'wɜːkfɔːs,n. 劳动力；工人总数；职工总数
counterforce,'kaʊntəˌfɔːs,n. 反对势力；核子武器还击；反作用力
air-force,eə(r)-fɔːs,n.空军
full-force,fʊl-fɔːs,n.全力，倾巢而出
life-force,'laɪff'ɔːs,n. 生命力
task-force,tɑ:sk-fɔːs,n.特遣部队；特别小组
gale-force,'ɡeɪlf'ɔːs,adj. 强风的; 大风的
labor-force,'leɪbə(r)-fɔːs,n.劳动力
brute-force,bru:t-fɔːs,n.强力攻击；蛮力
hurricane-force,ˈhʌrɪkən-fɔːs,n.飓风力
enforce,ɪn'fɔːs,vt. 强迫；强制；实施；执行；加强
enforcer,ɪn'fɔːsə(r),n. 实施者；杀手；冰上曲棍球运动员
enforcement,ɪn'fɔːsmənt,n. 执行；强制；实施
enforced,ɪn'fɔːst,adj. 强制的 动词enforce的过去式和过去分词.
unenforced,ˌʌnɪn'fɔːsd,adj. 未实施的
enforceable,ɪn'fɔːsəbl,adj. 可实施的
enforceability,ɪn'fɔːs,vt. 强迫；强制；实施；执行；加强
unenforceable,'ʌnɪn'fɔːsəbl,adj. 不能强制执行的
self-enforcing,'selfenf'ɔːsɪŋ,自动实施
drug-enforcement,drʌg-en'fɔːsm(ə)nt,n.禁毒，毒品管制
reinforce,ˌriːɪn'fɔːs,vt. 加固；加强；增强；使更具说服力 vi. 得到加强
reinforcer,riːɪn'fɔːsə(r),n. 增强剂；强化刺激
reinforcement,ˌriːɪn'fɔːsmənt,n. 增强；加固；强化物；增援力量
reinforced,riːɪn'fɔːst,adj. 加强的 动词reinforce的过去式和过去分词.
unreinforced,'ʌnriːn'fɔːst,adj. 无筋的(不加固的)
reinforcing,ˌriːɪn'fɔːsɪŋ,n. 增强；加强 动词reinforce的现在分词形式. =reenforce.
self-reinforcing,'selfriːɪnf'ɔːsɪŋ,自我强化作用
steel-reinforced,sti:l-riːɪn'fɔːst,adj.钢骨的
fort,fɔːt,n. 堡垒；要塞
fortress,'fɔːtrəs,n. 堡垒；要塞；防御工事
fortress-like,'fɔːtrɪs-laɪk,adj.堡垒一样的
forte,'fɔːteɪ,n.[C, sing] 长处；特长；优点；[音乐]强音记号
fortitude,'fɔːtɪtjuːd,n. 刚毅；坚毅；不屈不挠
fortissimo,fɔː'tɪsɪməʊ,adv. 极强音地 adj. 极强音的
fortify,'fɔːtɪfaɪ,v. 加强；增强；筑防御工事于；（物质或精神上）支持或鼓励
fortified,'fɔːtɪfaɪd,adj. 加强的 动词fortify的过去式和过去分词形式.
fortification,ˌfɔːtɪfɪ'keɪʃn,n. 防御工事（尤指堡垒、要塞城墙等）
effort,'efət,n. 努力；努力的成果
effortful,'efətfʊl,adj. 显示努力的；充满努力的；需要努力的
effortless,'efətləs,adj. 容易的；不费力气的；应付自如的
effortlessly,'efətləsli,adv. 毫不费力地；轻易地
effortlessness,'efətləs,adj. 容易的；不费力气的；应付自如的
comfort,'kʌmfət,n. 舒适；安逸；安慰；慰藉 vt. 安慰；使舒适
comfortless,'kʌmfətləs,adj. 无安慰的；不舒服的；不自由的
comforter,'kʌmfətə(r),n. 安慰者；盖被；长围巾 Comforter: 圣灵.
comforting,'kʌmfətɪŋ,adj. 安慰的；令人欣慰的 动词comfort的现在分词形式.
comfortingly,'kʌmfət,n. 舒适；安逸；安慰；慰藉 vt. 安慰；使舒适
comfortable,'kʌmftəbl,adj. 舒适的；充裕的
comfortably,'kʌmftəbli,adv. 舒服地；容易地；充裕地
uncomfortable,ʌn'kʌmftəbl,adj. 不舒服的；不自在的
uncomfortably,ʌn'kʌmftəbli,adv. 不舒适地；不愉快地；困难地
discomfort,dɪs'kʌmfət,n. 不便之处；不适 v. 使不适
discomforting,dɪs'kʌmfətɪŋ,adj. 令人不安的；令人不舒适的；令人苦恼的 动词discomfort的现在分词形式.
comfortable-looking,ˈkʌmftəbl-'lʊkɪŋ,adj.神态安适的

carn|肉
carnival,'kɑːnɪvl,n. 嘉年华会；狂欢节
carnivalesque,'kɑːnɪveɪlesk,adj. 好像过节的；快乐的
carnival-like,'kɑːnɪv(ə)l-laɪk,adj.像狂欢节的
carnaval,karnaval,卡纳瓦尔
carnal,'kɑːnl,adj. 肉体的；世俗的
carnally,'kɑːnəli,adv. 肉体地；世俗地
carnality,kɑː'nælɪtɪ,n. 肉欲；淫荡
carny,'kɑːnɪ,n. 巡回演艺团
carney,'kɑːnɪ,v. 哄骗 n. 哄骗的话
incarnate,ɪn'kɑːnət,v. 体现；使 ... 具体化 adj. 化身的；人体化的
incarnation,ˌɪnkɑː'neɪʃn,n. 赋与肉体；具人形；化身；（生活中的）特殊阶段
incarnational,ɪnkɑː'neɪʃənəl,adj. 具体化的
reincarnate,ˌriːɪn'kɑːneɪt,v. 使化身；转生 adj. 转世的
reincarnated,ˌriːɪn'kɑːneɪt,v. 使化身；转生 adj. 转世的
reincarnation,ˌriːɪnkɑː'neɪʃn,n. 转世；再生
carnivore,'kɑːnɪvɔː(r),n. 食肉动物；食虫植物
carnivorous,kɑː'nɪvərəs,adj. 食肉的；肉食性的
carnage,'kɑːnɪdʒ,n. 大屠杀；残杀
carnation,kɑː'neɪʃn,n. 康乃馨(花名)
carnelian,kɑː'niːliən,n. 红玉髓；玛瑙
carnitine,'kɑːnɪtiːn,n. [化]肉(毒)碱

tend,tens,tent|伸
attend,ə'tend,v. 出席；参加；照料；注意；专心于
attending,ə'tendɪŋ,adj. 主治的；出席的 动词attend的现在分词.
attendant,ə'tendənt,adj. 伴随的 n. 服务员；出席者；伴随物；侍从
attendance,ə'tendəns,n. 出席；出席人数；出席率
attender,ə'tend,v. 出席；参加；照料；注意；专心于
attendee,ˌæten'diː,n. 出席者；在场者
attended,ə'tendɪd,动词attend的过去式和过去分词形式
unattended,ˌʌnə'tendɪd,adj. 无人出席的；没人照顾的；无陪伴的；未被注意的
well-attended,'welət'endɪd,adj. 有很多人参加的(会议等)
attention,ə'tenʃn,n. 注意；注意力；照料；留心；关怀；(口令)立正
attentional,ə'tenʃənəl,adj. 注意的；保养的
inattention,ˌɪnə'tenʃn,n. 不注意；粗心；疏忽
attention-deficit,ə'tenʃ(ə)n-ˈdefɪsɪt,n.注意力缺陷
attention-grabbing,ə'tenʃnɡr'æbɪŋ,adj. 引人注目的；引人注目的评论或行为指有意让人注意的
attention-getting,ə'tenʃən'getɪŋ,adj. 引人注意的
attentive,ə'tentɪv,adj. 注意的；留意的
attentively,ə'tentɪvli,adv. 注意地；留意地
attentiveness,ə'tentɪvnəs,n. 注意；专注
inattentive,ˌɪnə'tentɪv,adj. 心不在焉的；怠慢的；疏忽的
inattentiveness,ˌɪnə'tentɪvnɪs,n. 漫不经心；不注意；疏忽
extend,ɪk'stend,v. 延伸；延长；伸展；扩展；提供；使竭尽全力
extender,ɪks'tendə,n. 增量剂；扩充器；延长器
extended,ɪk'stendɪd,adj. 长期的；广大的；伸展的 动词extend的过去式及过去分词形式.
extendable,ɪk'stendəbl,adj. 可展开的；可扩张的；可延长的
overextend,ˌəʊvərɪk'stend,vt.  使 ... 承担过多的义务； 过分延伸； 过分展开
overextended,ˌəʊvərɪk'stendɪd,adj. 伸延过长的；承担过多的 v. 使 ... 承担过多的义务； 过分延伸； 过分展开（动词overextend的过去式和过去分词形式）
extended-cab,ɪk'stendɪd-kæb,n.加长驾驶室
extended-stay,ɪk'stendɪd-steɪ,n.长期居住延期逗留
extended-family,ɪk'stendɪd-ˈfæməli,n.大家庭
life-extending,laɪf-ɪk'stendɪŋ,adj.生命延续的
extent,ɪk'stent,n.  广度； 宽度； 长度； 大小； 范围； 程度 n.  [律]扣押； 临时所有权令
extensor,ɪk'stensə(r),n. 伸肌
extension,ɪk'stenʃn,n. 延长；伸展；延期；扩充；观念发展；增强 n. 电话分机；特别课程 n. [计]文件名
extensional,ɪks'tenʃənl,adj. 外延的；延伸的；客观事实的
extensible,ɪk'stensəbl,adj. 可延伸的；可扩张的
extensive,ɪk'stensɪv,adj. 广泛的；广阔的；广大的；大量的
extensively,ɪk'stensɪvli,adv. 广泛地；大规模地
extensiveness,ɪks'tensɪvnəs,n. 广大；大范围；延伸
coextensive,'kəʊɪks'tensɪv,adj. 有共同边界的；有同样范围的
overextension,əʊvəɪks'tenʃn,n. 外延过宽，过度伸展
hyperextension,ˌhaɪpərɪks'tenʃən,n. 伸展过度
intend,ɪn'tend,vt. 想要；打算；意指
intendant,ɪn'tendənt,n. 监督官；管理者；地方行政长官
intended,ɪn'tendɪd,adj. 预期的；故意的 n. 未婚妻
unintended,ˌʌnɪn'tendɪd,adj. 非计划中的；非故意的
well-intended,wel-ɪn'tendɪd,adj.计划周密的；出于好意的
superintend,ˌsuːpərɪn'tend,v. 管理；监督；指挥
superintendent,ˌsuːpərɪn'tendənt,n. 监督人；管理人；所长
superintendency,ˌsuːprɪn'tendənsɪ,n. 监督者的地位
intent,ɪn'tent,adj. 热切的；专心的；决心的 n. 意图；目的；意向；含义
intently,ɪn'tentli,adv. 一心一意地；心无旁骛地；专心地
intention,ɪn'tenʃn,n. 意图；目的；意向；打算
intentional,ɪn'tenʃənl,adj. 存心的；故意的
intentionality,ɪnˌtenʃə'nælɪtɪ,n. 意向性
intentionally,ɪn'tenʃənəli,adv. 有意地；故意地
unintentional,ˌʌnɪn'tenʃənl,adj. 非故意的；无心的
unintentionally,ˌʌnɪn'tenʃənəli,adv. 非故意地
well-intentioned,'welɪn'tenʃənd,adj. 好意的；出于善意的
intense,ɪn'tens,adj. 强大的；紧张的；强烈的；激烈的；深刻的
intensity,ɪn'tensəti,n. 强度；强烈；紧张
intension,ɪn'tenʃən,n. 加强；强度；紧张 [逻]内涵.
intensional,ɪn'tenʃənəl,adj. 紧张的；专心致志的；内涵的
intensely,ɪn'tensli,adv. 强烈地；热切地
intensify,ɪn'tensɪfaɪ,vt. 增强；强化；加剧
intensifier,ɪn'tensɪfaɪə(r),n. 使更激烈之物；增感剂；增强器；[语]强调成分
intensifying,ɪn'tensɪfaɪɪŋ,adj. 增强的 动词intensify的现在分词形式.
intensification,ɪnˌtensɪfɪ'keɪʃn,n. 增强；加强；强化
intensified,ɪn'tensɪfaɪ,vt. 增强；强化；加剧
intensive,ɪn'tensɪv,adj. 密集的；彻底的；精细的；强调的 n. (语法)强调成份
intensively,ɪn'tensɪvli,adv. 加强地；集中地
intensive-care,ɪn'tensɪvk'eər,adj. 对重病人特别护理的; 拥有特别医疗设备的监护器械的
high-intensity,'haɪɪnt'ensɪtɪ,强烈
low-intensity,'ləʊɪnt'ensɪtɪ,低强度
time-intensive,taɪm-ɪn'tensɪv,adj.时间密集的；费时的
labor-intensive,'læbərɪnt'ensɪv,adj. 劳动密集型的
energy-intensive,'enədʒiːɪnt'ensɪv,adj. 能源密集型的
knowledge-intensive,'nɒlɪdʒɪn'tensɪv,adj. 知识密集型的
resource-intensive,rɪ'sɔːsɪnt'ensɪv,资源密集的
contend,kən'tend,v. 竞争；争斗；争辩；坚决主张
contender,kən'tendə,n. 竞争者
contending,kən'tend,v. 竞争；争斗；争辩；坚决主张
contention,kən'tenʃn,n. 争论；争辩；争夺；论点
contentious,kən'tenʃəs,adj. 好辩的；好争吵的；有争议的
contentiousness,kən'tenʃəsnəs,n. 争论
pretend,prɪ'tend,v. 假装；装作；自以为
pretender,prɪ'tendə(r),n. 冒充者；觊觎王位者；妄想者
pretended,prɪ'tendɪd,adj. 假的；虚伪的
pretending,prɪ'tendɪŋ,adj. 假装的；矫饰的；僭望的 动词pretend的现在分词形式.
pretense,prɪ'tens,n. 借口；虚假；伪装；自吹；炫耀 =pretence.
pretension,prɪ'tenʃn,n. 声称；自命；要求；自负；狂妄；炫耀
pretentious,prɪ'tenʃəs,adj. 自命不凡的；自负的；矫饰的；炫耀的
unpretentious,ˌʌnprɪ'tenʃəs,adj. 不炫耀的；含蓄的；谦虚的
pretentiously,prɪ'tenʃəsli,adv. 自命不凡地；自负地；狂妄地
pretentiousness,prɪ'tenʃəsnəs,n. 自命不凡
distend,dɪ'stend,v. 扩大；扩张；吹大；膨胀
distention,dɪs'tenʃən,n. 膨胀
distended,dɪ'stend,v. 扩大；扩张；吹大；膨胀
portend,pɔː'tend,vt.  成为 ... 的前兆； 预知； 预警
portent,'pɔːtent,n. 前兆；预示；异常之物
portentous,pɔː'tentəs,adj. 前兆的；不吉的；可怕的；煞有介事的；自命不凡的
portentously,pɔː'tentəsli,adv. 有预兆地；不祥地
tend,tend,v. 趋向；易于；朝向 v. 照料；照管
tendency,'tendənsi,n. 趋势；倾向；秉性
tendance,'tendəns,n.  照顾； 服侍； 照料 n.   侍从； 随从
tending,'tendɪŋ,n. 照顾；照料；看护；田间管理 动词tend的现在分词.
tended,tend,v. 趋向；易于；朝向 v. 照料；照管
untended,'ʌn'tendɪd,adj. 被忽略了的(未受到照顾的)
subtend,səb'tend,vt. [数]对着；对向；[植]包在叶腋内
tendentious,ten'denʃəs,adj. 有目的的；有倾向的；有偏见的 =tendencious.
well-tended,wel-tendid,adj.被精心照料的
goaltender,'ɡəʊltendə(r),n. （足球等运动的)守门员 =goalkeeper（英).
goaltending,ɡəʊl'tendɪŋ,n. 救球；守门
tender,'tendə(r),adj. 温柔的；脆弱的；敏感的；亲切的；嫩的；痛的 v. 提出；投标 n. 投标；照管人；补给船；煤水车
tenderly,'tɛndɚli,adv. 温柔地；柔和地
tenderness,'tendənɪs,n. 温柔；娇嫩；柔软
tenderize,'tendəraɪz,v. 使嫩
tenderizer,'tendəraɪzə,n.  嫩化剂 =tenderiser
tenderloin,'tendəlɔɪn,n. 嫩腰肉；油水区
tenderfoot,'tendəfʊt,n. 生手；新手
fork-tender,'fɔːkt'endər,adj. 嫩得可用餐叉切碎的
tender-hearted,'tendə'ha:tid,adj. 心肠软的; 慈善的
tent,tent,n. 帐篷 v. 住帐篷；宿营
tented,'tentɪd,adj. 以帐篷覆盖的；放进帐篷的；帐篷形的
tent-like,'tentl'aɪk,幕状的
tense,tens,adj. 紧张的；绷紧的；拉紧的 v. 拉紧；使紧绷 n. (动词)时态
past-tense,pɑ:st-tens,n.过去时
tensor,'tensə(r),n. 张量；[解]张肌
tensely,tensli,adv. 紧张地；紧绷地；拉紧
tenseness,tensnəs,n. 绷紧；紧张
tension,'tenʃn,n. 紧张；拉力；张力；紧张状态；[电]电压 vt. 使拉紧；使绷紧
tension-filled,'tenʃ(ə)n-fɪld,adj.充满张力的
high-tension,'hai'tenʃən,adj. 高(电)压的
tensile,'tensaɪl,adj. 可拉长的；可伸展的；张力的
high-tensile,'haɪt'ensaɪl,高强(度)
tensity,'tensɪtɪ,n. 紧张；紧张度
tensible,'tensɪbl,adj. 可伸长的
hypotensive,ˌhaɪpəʊ'tensɪv,adj. 血压过低的
hypertension,ˌhaɪpə'tenʃn,n. 高血压；过度紧张
hypotension,ˌhaɪpə'tenʃən,n. 低血压
hypertensive,ˌhaɪpə'tensɪv,adj. 高血压的 n. 高血压
hypertensive,ˌhaɪpə'tensɪv,adj. 高血压的 n. 高血压
antihypertensive,'æntiːhɑɪpə'tensɪv,adj. 抗高血压的；降压的
ostentation,ˌɒsten'teɪʃn,n. 卖弄；虚饰；炫耀；摆阔；讲排场
ostensible,ɒ'stensəbl,adj. 表面的；假装的
ostensibly,ɒ'stensəbli,adv. 表面上地；外表上地
ostentatious,ˌɒsten'teɪʃəs,adj. 炫耀的；浮夸的；浮华的；豪华的
ostentatiously,ˌɒsten'teɪʃəsli,adv. 夸耀地
tendon,'tendən,n. 腱
tendonitis,ten'dəʊnaɪtɪs,腱炎
tendinitis,ˌtendɪ'naɪtɪs,n. [医]腱炎 =tendonitis.
protend,prəʊ'tend,v. 伸出；突出
protensive,prəʊ'tensɪv,adj. 伸长的(延长时间的；持时间不长的)
tendril,'tendrəl,n. 卷须；蔓；卷须状物
angiotensin,ˌændʒɪəʊ'tensən,n. 血管紧缩素；血管紧张素(肽)
entente,ɒn'tɒnt,n. （国家间的）谅解；协定；协约国

memor,ment,mind|记忆
memory,'meməri,n. 记忆力；回忆；记忆；[计]存储
memorial,mə'mɔːriəl,n. 纪念碑；纪念物；纪念仪式 adj. 纪念的；追悼的
immemorial,ˌɪmə'mɔːriəl,adj. 远古的；极古的；久远的
memorable,'memərəbl,adj. 值得纪念的；难忘的
memorably,'memərəbli,adv. 留在记忆中地；显著地；明确地
unmemorable,ʌn'memərəbl,adj. 不值得纪念的；不值得注意的；不容易记住的
memorabilia,ˌmemərə'bɪliə,n. 值得纪念的事物；大事记
memorandum,ˌmemə'rændəm,n. 【商】备忘录；【法】交易备忘录；契约书
memorialize,mə'mɔːriəlaɪz,vt. 纪念；请愿
